占地面积,占地面积是多少,$占地面积是多少,$的占地面积是多少,$的面积是多少,$占地面积是,,,,,,,,,,,
连载网站,连载网站是什么,$连载网站是什么,$的连载网站是什么,,,,,,,,,,,,,
预防措施,预防措施有啥,$预防措施有啥,$的预防措施是,怎么预防$,怎么避免$发病,怎样可以不得$,怎样才能预防$,$如何预防,,,,,,,,
编剧,编剧是谁,$编剧是谁,$的编剧是谁,,,,,,,,,,,,,
导演,导演是谁,$导演是谁,$的导演是,$是谁执导的,,,,,,,,,,,,
忌吃食物,忌吃食物有哪些,$忌吃食物有哪些,$的忌吃食物是,$不适合吃什么,$应该避免吃啥,$不应该吃什么,$不要吃什么,$禁吃什么,什么膳食不适合$,$的人不要吃啥,$人最好不好吃.,,,,,
改编自,改编自什么,$改编自什么,$的改编自是什么,,,,,,,,,,,,,
主演,主演是谁,$主演是谁,$的主演是,$是谁演的,,,,,,,,,,,,
定义,定义是什么,$定义是什么,$意思,$是什么,$是什么意思,$的意思是什么,$解释,$解释是什么,什么是$,啥是$,怎么理解$,怎么解释$,解释一下$,解释$的意思,$的定义,$的释义
概念,概念是啥,$概念是啥,$意思,$是什么,$是什么意思,$的意思是什么,$解释,$解释是什么,什么是$,啥是$,怎么理解$,怎么解释$,解释一下$,解释$的意思,$的定义,$的释义
字,字是什么,$字是什么,$的字是,,,,,,,,,,,,,
出版社,出版社是哪个,$出版社是哪个,$的出版社是什么,$是哪个出版社出版的,,,,,,,,,,,,
作曲,作曲是谁,$作曲是谁,$的作曲是,$是谁作曲的,,,,,,,,,,,,
简称,简称是啥,$简称是啥,$的简称是啥,,,,,,,,,,,,,
药品详情,药品详情是什么,$药品详情是什么,$的药品详情是什么,,,,,,,,,,,,,
推荐药品,推荐药品是什么,$推荐药品是什么,$的推荐药品是啥,$有什么推荐的药品,什么药品可以治疗$,我得了$，可以用什么药,,$要吃什么药,$可以吃啥药,,,,,,,
出品公司,出品公司是谁,$出品公司是谁,$的出品公司是,$是哪个公司出品的,$是哪个公司的作品,,,,,,,,,,,
气候,气候是怎样的,$气候是怎样的,$的气候是,$的天气怎么样,,,,,,,,,,,,
官方语言,官方语言是什么,$官方语言是什么,$的官方语言是,$政府语言是啥,,,,,,,,,,,,
邮政编码,邮政编码是什么,$邮政编码是什么,$的邮政编码是,,,,,,,,,,,,,
身高,身高是多少,$身高是多少,$的身高是,$有多高,,,,,,,,,,,,
歌手,歌手是谁,$歌手是谁,$的歌手是,$是谁唱的,,,,,,,,,,,,
并发疾病,并发疾病有啥,$并发疾病有啥,$的并发疾病是,得了$一般可能会得什么疾病,$有哪些并发症,,,,,,,,,,,
简介,简介是,$简介是,$的简介是,介绍一下$,,,,,,,,,,,,
治疗费用,治疗费用要多少钱,$治疗费用要多少钱,$的治疗费用是,治疗$需要多少钱,多少钱可以治好$,,,,,,,,,,,
治疗方式,治疗方式是什么,$治疗方式是什么,$的治疗方式是,怎么治疗$,如何治疗$,$怎么办,$要怎么治,,,,,,,,,
创始人,创始人是谁,$创始人是谁,$的创始人是,,,,,,,,,,,,,
嘉宾,嘉宾是谁,$嘉宾是谁,$的嘉宾是,,,,,,,,,,,,,
修业年限,修业年限是多久,$修业年限是多久,$的修业年限是,,,,,,,,,,,,,
传染性,传染性是怎样的,$传染性是怎样的,$的传染性是,,,,,,,,,,,,,
主持人,主持人是谁,$主持人是谁,$的主持人是,,,,,,,,,,,,,
治疗科室,治疗科室是什么,$治疗科室是什么,$的治疗科室是,$可以在哪个科室治疗,得了$应该去哪个科室治疗,,,,,,,,,,,
易感人群,易感人群是哪些,$易感人群是哪些,$的易感人群是,什么容易得$,哪些人容易感染$,什么人容易得$,什么样的人容易$,,,,,,,,,
治愈概率,治愈概率是多大,$治愈概率是多大,$的治愈概率是,$有多大可能性被治疗好,$被治好的概率是多大,$能治好吗,,,,,,,,,,
出生地,出生地是哪里,$出生地是哪里,$的出生地是,$在哪里出生的,,,,,,,,,,,,
目,目是什么,$目是什么,$是哪个目的植物,,,,,,,,,,,,,
母亲,母亲是谁,$母亲是谁,$的母亲是,谁是$的妈妈,,,,,,,,,,,,
总部地点,总部地点在哪里,$总部地点在哪里,$的总部地点是,$的总部在哪里,,,,,,,,,,,,
所属专辑,所属专辑是什么,$所属专辑是什么,$的所属专辑是,$是哪个专辑的？,,,,,,,,,,,,
治疗周期,治疗周期是多久,$治疗周期是多久,$的治疗周期是,治疗$需要多久,多长时间可以治好$,$要多久才能好,,,,,,,,,,
诊断检查项目,诊断检查项目是什么,$诊断检查项目是什么,$的诊断检查项目是,$需要检查什么,$怎么才能查出来,,,,,,,,,,,
专业代码,专业代码是什么,$专业代码是什么,$的专业代码是,,,,,,,,,,,,,
症状,症状是啥,$症状是啥,$的症状是,$一般有什么症状,$的症状有哪些,,,,,,,,,,,
人口数量,人口数量有多少,$人口数量有多少,$的人口数量是,$有多少人,,,,,,,,,,,,
分类,分类是什么,$分类是什么,$的分类是,,,,,,,,,,,,,
首都,首都在哪里,$首都在哪里,$的首都是,$的首都在哪里,,,,,,,,,,,,
丈夫,丈夫是谁,$丈夫是谁,$的丈夫是,$的老公是谁,,,,,,,,,,,,
主角,主角是谁,$主角是谁,$的主角是,,,,,,,,,,,,,
发病率,发病率有多大,$发病率有多大,$的发病率是,,,,,,,,,,,,,
宜吃食物,宜吃食物是什么,$宜吃食物是什么,$的宜吃食物是,$适合吃什么,$应该吃啥,$应该吃什么,$要吃什么,$吃什么,什么膳食适合$,$的人吃点啥,,,,,,
民族,民族是什么,$民族是什么,$的民族是,,,,,,,,,,,,,
制片人,制片人是谁,$制片人是谁,$的制片人是,,,,,,,,,,,,,
所在城市,所在城市是哪里,$所在城市是哪里,$的所在城市是,,,,,,,,,,,,,
病因,病因是什么,$病因是什么,$的病因是,$的发病原因,为什么会$,为什么有的人会$?,,,,,,,,,,
作者,作者是谁,$作者是谁,$的作者是,,,,,,,,,,,,,
基本医疗保险,基本医疗保险能否保障,$基本医疗保险能否保障,$的基本医疗保险是,$医保保不保,$医保能否报销,,,,,,,,,,,
毕业院校,毕业院校是什么,$毕业院校是什么,$的毕业院校是,$是哪个学校毕业的,,,,,,,,,,,,
号,号是多少,$号是多少,$的号是,,,,,,,,,,,,,
常用药品,常用药品是什么,$常用药品是什么,$的常用药品是,$一般用什么药,,,,,,,,,,,,
妻子,妻子是谁,$妻子是谁,$的妻子是,$的老婆是谁,,,,,,,,,,,,
父亲,父亲是谁,$父亲是谁,$的父亲是,$的爸爸是谁,,,,,,,,,,,,
祖籍,祖籍在哪里,$祖籍在哪里,$的祖籍是,$的祖籍在哪里,$是哪里人,,,,,,,,,,,
面积,面积是多大,$面积是多大,$的面积是,$有多大,$的面积有多大,$面积是多少,,,,,,,,,,
作词,作词是谁,$作词是谁,$的作词是,,,,,,,,,,,,,
成立日期,成立日期是什么时候,$成立日期是什么时候,$的成立日期是,,,,,,,,,,,,,
出生日期,出生日期是什么时候,$出生日期是什么时候,$的出生日期是,,,,,,,,,,,,,
注册资本,注册资本是多少,$注册资本是多少,$的注册资本是,,,,,,,,,,,,,
国籍,国籍是哪里,$国籍是哪里,$的国籍是,$哪国人,,,,,,,,,,,,
朝代,朝代是哪个,$朝代是哪个,$的朝代是,,,,,,,,,,,,,
